,T,conversion,revenue,pre_exp_revenue,num_actions,trigger_dates,currency,country_of_origin,segment_1,segment_2,segment_3
32,1,0,0.0,425.39136590601873,0,2022-01-03 21:15:00,USD,US,Old,Active,10- transfers
33,1,1,551.5530334655386,1468.9929817581706,4,2022-01-02 10:55:00,USD,USD,Old,Usual,10- transfers
34,1,1,270.56327525494635,205.59141927894663,8,2022-01-18 21:22:00,USD,USD,Old,Active,10- transfers
35,2,0,0.0,297.3944706397206,0,2022-01-04 20:23:00,EUR,UK,Old,Active,10+ transfers
36,1,0,0.0,499.94360219707596,0,2022-01-14 09:10:00,EUR,US,Old,Usual,10- transfers
37,1,0,0.0,1398.6764606817499,0,2022-01-04 05:55:00,EUR,USD,Old,Usual,10- transfers
38,0,0,0.0,497.27698316549174,0,2022-01-06 03:32:00,USD,UK,Old,Active,10- transfers
39,0,0,0.0,354.9877610503384,0,2022-01-07 04:09:00,USD,UK,New,Rare,10- transfers
40,1,1,1874.0260734978845,546.835492702711,4,2022-01-12 19:28:00,EUR,US,New,Active,10- transfers
41,0,0,0.0,167.75693667504848,0,2022-01-20 20:08:00,EUR,US,Old,Active,10- transfers
42,0,0,0.0,316.3464949580261,0,2022-01-15 13:28:00,GBP,UK,Old,Rare,10- transfers
43,1,0,0.0,114.66822587639558,0,2022-01-10 14:58:00,GBP,USD,New,Rare,10+ transfers
44,2,1,1101.8531600136466,1373.362861667274,12,2022-01-11 08:36:00,GBP,UK,New,Rare,10- transfers
45,1,0,0.0,4546.516037035053,0,2022-01-18 01:11:00,USD,US,New,Rare,10- transfers
46,0,0,0.0,222.3903875163487,0,2022-01-09 12:00:00,GBP,UK,Old,Rare,10- transfers
47,2,1,108.87467529325713,364.0307788034059,14,2022-01-14 23:19:00,GBP,US,Old,Usual,10- transfers
48,2,1,311.707345787109,652.5439800192753,14,2022-01-02 06:18:00,GBP,USD,New,Rare,10+ transfers
49,1,0,0.0,327.99529045203656,0,2022-01-10 22:28:00,EUR,UK,Old,Active,10- transfers
50,1,0,0.0,315.15749188805535,0,2022-01-01 01:59:00,USD,UK,New,Rare,10+ transfers
51,1,0,0.0,1985.2758112357894,0,2022-01-04 13:59:00,EUR,USD,Old,Usual,10- transfers
52,0,0,0.0,939.7637392004689,0,2022-01-03 21:37:00,GBP,USD,Old,Usual,10+ transfers
53,0,1,2137.9650280118485,55.96018916744265,11,2022-01-05 05:05:00,USD,UK,New,Active,10+ transfers
54,1,0,0.0,1308.259290029372,0,2022-01-13 04:04:00,GBP,USD,Old,Active,10+ transfers
55,0,1,298.5578194127423,463.34754567258335,12,2022-01-13 06:24:00,GBP,US,Old,Active,10- transfers
56,2,0,0.0,566.4768322039589,0,2022-01-01 03:41:00,GBP,USD,Old,Active,10- transfers
57,0,0,0.0,53.82326707541752,0,2022-01-02 00:16:00,GBP,USD,Old,Usual,10+ transfers
58,0,1,99.96977889874474,192.6674033736765,5,2022-01-13 16:21:00,USD,USD,New,Active,10- transfers
59,1,0,0.0,1663.4598315472724,0,2022-01-12 12:37:00,USD,UK,New,Usual,10- transfers
60,1,0,0.0,457.06952818833133,0,2022-01-14 11:34:00,GBP,USD,Old,Rare,10+ transfers
61,2,1,270.86636307244413,265.59810250794453,8,2022-01-16 06:05:00,GBP,UK,Old,Usual,10- transfers
62,0,0,0.0,788.6501993903473,0,2022-01-03 00:33:00,USD,USD,New,Usual,10- transfers
63,0,1,362.22767759836574,430.20268945627197,10,2022-01-12 16:10:00,EUR,UK,Old,Usual,10+ transfers
64,1,1,274.97266194076303,448.4661555465474,13,2022-01-02 13:55:00,USD,USD,New,Active,10+ transfers
65,2,0,0.0,3170.3762153352,0,2022-01-07 07:39:00,EUR,UK,New,Active,10- transfers
66,2,0,0.0,854.4746801423827,0,2022-01-19 21:14:00,EUR,USD,New,Rare,10+ transfers
67,1,0,0.0,1714.2433623738623,0,2022-01-19 05:38:00,GBP,US,New,Active,10+ transfers
68,0,1,476.9509972332386,293.62507491529607,6,2022-01-21 14:04:00,GBP,USD,New,Rare,10+ transfers
69,2,1,1804.603115010163,805.7194205490281,5,2022-01-17 01:15:00,USD,USD,Old,Usual,10+ transfers
70,1,0,0.0,185.6288368701796,0,2022-01-05 12:32:00,EUR,US,New,Usual,10+ transfers
71,2,0,0.0,713.9855456453856,0,2022-01-06 05:19:00,GBP,UK,Old,Rare,10- transfers
72,1,1,229.68149549563722,180.87066842177444,10,2022-01-02 07:38:00,USD,USD,Old,Usual,10+ transfers
73,0,1,207.8245333249063,47.00217682210292,12,2022-01-19 11:59:00,GBP,UK,Old,Rare,10+ transfers
74,1,0,0.0,101.76279326330224,0,2022-01-13 01:50:00,GBP,USD,Old,Rare,10+ transfers
75,1,0,0.0,108.1043270789157,0,2022-01-07 08:38:00,EUR,US,New,Usual,10+ transfers
76,2,1,211.6180368383216,343.0607916654572,7,2022-01-05 15:47:00,EUR,USD,Old,Usual,10- transfers
77,0,0,0.0,481.36894038989476,0,2022-01-19 15:33:00,GBP,USD,New,Active,10+ transfers
78,0,1,279.10870857837756,1039.6864198505777,5,2022-01-20 01:01:00,USD,UK,New,Usual,10- transfers
79,2,0,0.0,1217.0437165133044,0,2022-01-04 03:17:00,GBP,UK,New,Active,10- transfers
80,2,1,1393.1963670031753,1878.3917440557848,4,2022-01-16 19:57:00,EUR,US,New,Usual,10+ transfers
81,1,0,0.0,187.61937603734907,0,2022-01-06 05:40:00,USD,US,New,Usual,10+ transfers
82,0,1,2745.946325968607,435.80763560401243,9,2022-01-16 17:22:00,USD,US,Old,Rare,10- transfers
83,2,0,0.0,139.55613696037804,0,2022-01-19 23:08:00,GBP,US,Old,Active,10+ transfers
84,2,1,2080.6429041175966,463.8492322676399,11,2022-01-17 04:50:00,USD,US,New,Active,10- transfers
85,2,1,502.6474162630079,439.6081496281497,8,2022-01-20 03:58:00,USD,UK,New,Active,10- transfers
86,0,1,754.1669998088199,131.85913400289195,9,2022-01-07 19:47:00,GBP,US,Old,Active,10+ transfers
87,0,1,265.03584638048517,333.23668883290014,8,2022-01-15 05:37:00,GBP,US,Old,Active,10+ transfers
88,1,0,0.0,109.21081647640385,0,2022-01-07 08:27:00,EUR,US,New,Usual,10+ transfers
89,1,0,0.0,1401.7506586009895,0,2022-01-17 13:58:00,GBP,US,New,Rare,10- transfers
90,1,0,0.0,979.5156543167745,0,2022-01-11 20:42:00,EUR,US,Old,Rare,10- transfers
91,0,1,1051.5821042410603,1964.7487206984238,4,2022-01-08 16:18:00,GBP,USD,Old,Usual,10+ transfers
92,0,1,228.27874331848358,255.92713129680286,8,2022-01-02 11:00:00,USD,USD,Old,Active,10+ transfers
93,1,1,119.96540406685523,41.35936845033423,6,2022-01-17 09:19:00,EUR,USD,New,Usual,10+ transfers
94,1,0,0.0,171.7299954639217,0,2022-01-17 07:44:00,USD,UK,New,Active,10- transfers
95,2,0,0.0,1079.9943645608816,0,2022-01-18 01:11:00,GBP,UK,New,Active,10+ transfers
96,0,1,221.73789959263613,103.62046245292575,12,2022-01-16 00:45:00,GBP,US,New,Usual,10+ transfers
97,1,0,0.0,798.1934542616647,0,2022-01-04 11:47:00,USD,USD,Old,Active,10+ transfers
98,2,1,102.71257218832984,158.94116997459477,11,2022-01-16 03:09:00,EUR,UK,New,Rare,10+ transfers
99,2,1,789.594058692985,302.4887655606181,7,2022-01-03 22:27:00,EUR,USD,New,Usual,10+ transfers
100,0,0,0.0,246.30481245639695,0,2022-01-07 07:21:00,USD,UK,New,Usual,10+ transfers
101,1,1,3161.6033798829567,304.0127844216236,7,2022-01-03 00:40:00,EUR,USD,Old,Usual,10+ transfers
102,1,1,1757.7233995532695,317.00869250877633,12,2022-01-07 17:58:00,USD,USD,New,Usual,10- transfers
103,0,1,376.6637784513751,226.87849541398592,4,2022-01-08 20:46:00,GBP,US,Old,Rare,10- transfers
104,0,0,0.0,471.947863065288,0,2022-01-17 16:18:00,GBP,US,New,Rare,10+ transfers
105,0,1,707.8216652120419,546.3282701225172,12,2022-01-10 12:19:00,EUR,USD,New,Active,10+ transfers
106,2,0,0.0,216.97470195867263,0,2022-01-18 16:00:00,GBP,US,Old,Usual,10- transfers
107,0,1,490.47927009101534,1192.0879231833214,4,2022-01-19 16:19:00,EUR,USD,Old,Active,10- transfers
108,1,0,0.0,287.7393225258648,0,2022-01-18 22:59:00,GBP,USD,New,Rare,10- transfers
109,0,0,0.0,494.7979683398933,0,2022-01-18 22:55:00,USD,UK,Old,Active,10+ transfers
110,1,1,1055.1445555519847,3116.208475748407,9,2022-01-18 04:39:00,EUR,US,New,Active,10- transfers
111,0,1,374.8687708476672,1127.3695130448764,15,2022-01-08 01:52:00,GBP,US,Old,Rare,10+ transfers
112,0,1,484.5587507423645,59.11468191818278,9,2022-01-06 06:36:00,EUR,US,Old,Usual,10- transfers
113,2,0,0.0,1511.4533677943305,0,2022-01-19 00:58:00,GBP,USD,Old,Active,10- transfers
114,0,0,0.0,94.02671607403373,0,2022-01-09 13:28:00,EUR,USD,Old,Usual,10+ transfers
115,1,1,353.613754682716,251.70334263367067,8,2022-01-03 14:27:00,EUR,US,Old,Active,10- transfers
116,2,0,0.0,105.34230204445056,0,2022-01-01 18:24:00,GBP,US,Old,Rare,10+ transfers
117,0,0,0.0,782.4597106709667,0,2022-01-21 01:53:00,USD,UK,New,Usual,10+ transfers
118,1,0,0.0,493.7236671511542,0,2022-01-14 07:53:00,USD,US,Old,Active,10+ transfers
119,1,1,83.28406991497576,669.2671356554032,7,2022-01-21 16:56:00,GBP,UK,New,Usual,10- transfers
120,0,1,99.08082036039008,477.39312849973027,7,2022-01-05 06:18:00,GBP,US,Old,Usual,10- transfers
121,2,1,1549.0747567462458,716.2183881405142,6,2022-01-12 16:55:00,USD,UK,Old,Rare,10+ transfers
122,0,0,0.0,1134.66104555975,0,2022-01-11 22:59:00,EUR,US,Old,Active,10+ transfers
123,0,0,0.0,102.51778555410633,0,2022-01-03 16:04:00,GBP,US,Old,Active,10+ transfers
124,0,1,424.3004675173189,49.088874962530085,10,2022-01-13 11:56:00,USD,UK,New,Usual,10+ transfers
125,0,1,651.8677976213141,683.7353172441632,7,2022-01-08 19:38:00,USD,USD,New,Active,10- transfers
126,1,0,0.0,399.29858800761707,0,2022-01-06 06:58:00,GBP,USD,New,Usual,10- transfers
127,2,0,0.0,610.5134481643029,0,2022-01-11 15:02:00,USD,US,New,Rare,10- transfers
128,0,0,0.0,473.84130158354986,0,2022-01-12 12:58:00,GBP,UK,Old,Usual,10- transfers
129,1,1,2699.083453523856,329.2495470931957,7,2022-01-18 19:06:00,USD,US,Old,Usual,10+ transfers
130,0,1,152.38287727979997,375.3683057932186,10,2022-01-03 15:39:00,GBP,USD,Old,Rare,10+ transfers
131,2,1,1163.4773978271778,126.28019846547286,8,2022-01-11 23:24:00,EUR,USD,New,Rare,10+ transfers
132,1,1,504.22011951814846,457.815003926887,13,2022-01-03 12:54:00,EUR,US,Old,Usual,10- transfers
133,2,0,0.0,597.2841819134832,0,2022-01-12 08:36:00,EUR,USD,New,Usual,10+ transfers
134,0,1,830.8030375626738,1275.6176965915315,6,2022-01-12 15:58:00,USD,US,New,Rare,10- transfers
135,0,1,194.43596195276376,63.16434196918296,7,2022-01-03 01:12:00,EUR,USD,Old,Rare,10+ transfers
136,2,0,0.0,97.54033139630785,0,2022-01-03 12:14:00,USD,US,Old,Rare,10+ transfers
137,2,0,0.0,515.9543945653937,0,2022-01-03 16:40:00,EUR,UK,Old,Usual,10+ transfers
138,2,1,89.56845700969535,119.58922644609471,7,2022-01-05 12:39:00,GBP,USD,New,Usual,10+ transfers
139,0,0,0.0,652.2211955932625,0,2022-01-17 20:15:00,GBP,USD,New,Usual,10- transfers
140,1,0,0.0,348.8221424342055,0,2022-01-20 12:33:00,USD,US,Old,Rare,10- transfers
141,2,0,0.0,198.58208993994847,0,2022-01-02 00:59:00,EUR,UK,Old,Active,10+ transfers
142,2,0,0.0,461.6982068943976,0,2022-01-08 11:56:00,USD,UK,New,Active,10- transfers
143,2,0,0.0,2905.2113369889403,0,2022-01-04 06:18:00,USD,UK,Old,Active,10- transfers
144,2,0,0.0,128.1106374637923,0,2022-01-10 18:07:00,USD,US,Old,Usual,10- transfers
145,0,0,0.0,398.7231563635792,0,2022-01-14 01:20:00,EUR,UK,New,Rare,10+ transfers
146,2,1,433.90252306348594,2306.95753015074,13,2022-01-14 02:32:00,EUR,US,New,Active,10- transfers
147,1,1,267.31031054010356,2175.311327946323,11,2022-01-07 05:04:00,EUR,UK,Old,Rare,10- transfers
148,1,0,0.0,335.40506848200147,0,2022-01-06 21:40:00,EUR,USD,Old,Rare,10+ transfers
149,2,0,0.0,86.81596056252042,0,2022-01-10 15:01:00,USD,US,New,Usual,10- transfers
150,0,0,0.0,1437.4956354888523,0,2022-01-06 02:05:00,EUR,UK,New,Usual,10- transfers
151,2,0,0.0,94.17231077018056,0,2022-01-16 15:35:00,USD,US,Old,Usual,10- transfers
152,0,1,33.88051399540589,331.3444189662164,8,2022-01-01 07:35:00,GBP,US,Old,Usual,10- transfers
153,2,0,0.0,418.1815974439698,0,2022-01-02 19:00:00,USD,US,Old,Active,10+ transfers
154,1,0,0.0,508.96845190376285,0,2022-01-18 11:11:00,EUR,US,New,Rare,10+ transfers
155,1,1,462.2404239708641,735.8440594221823,5,2022-01-20 11:25:00,EUR,USD,New,Active,10+ transfers
156,1,1,913.6129445251053,324.49005759419504,9,2022-01-21 21:45:00,GBP,US,New,Rare,10+ transfers
157,2,0,0.0,194.13565404280618,0,2022-01-10 01:56:00,GBP,US,New,Rare,10+ transfers
158,1,1,1308.3096520790618,315.29709882169146,8,2022-01-12 23:33:00,EUR,US,New,Usual,10- transfers
159,1,0,0.0,636.4829652519279,0,2022-01-15 13:41:00,EUR,UK,Old,Active,10+ transfers
160,0,0,0.0,919.0473202388072,0,2022-01-08 16:59:00,EUR,USD,New,Active,10- transfers
161,2,0,0.0,352.0634908231515,0,2022-01-15 10:57:00,EUR,UK,Old,Rare,10+ transfers
162,0,1,319.2193958435027,564.3725753598044,6,2022-01-04 11:22:00,GBP,USD,Old,Rare,10- transfers
163,1,0,0.0,261.668812078521,0,2022-01-20 00:01:00,EUR,USD,New,Usual,10- transfers
164,0,0,0.0,115.65639887039879,0,2022-01-12 04:38:00,EUR,USD,Old,Rare,10- transfers
165,1,1,449.9959982975223,695.3249329892607,8,2022-01-08 03:01:00,USD,UK,Old,Usual,10+ transfers
166,1,0,0.0,712.4797178848405,0,2022-01-04 23:36:00,GBP,US,New,Usual,10- transfers
167,0,0,0.0,406.83321518704037,0,2022-01-07 05:54:00,GBP,UK,New,Usual,10+ transfers
168,1,1,59.479638660063,38.582597323273106,9,2022-01-01 17:47:00,USD,UK,New,Usual,10+ transfers
169,1,0,0.0,39.81663514561064,0,2022-01-16 22:13:00,GBP,USD,Old,Rare,10+ transfers
170,1,0,0.0,574.0928571297105,0,2022-01-05 01:05:00,EUR,US,New,Active,10+ transfers
171,2,0,0.0,228.08046463461267,0,2022-01-08 16:01:00,GBP,UK,New,Active,10+ transfers
172,1,0,0.0,68.8571437334236,0,2022-01-13 00:44:00,EUR,US,New,Usual,10- transfers
173,0,0,0.0,1035.371834957314,0,2022-01-01 17:03:00,GBP,US,New,Rare,10- transfers
174,0,0,0.0,1525.2192589210529,0,2022-01-09 04:42:00,USD,UK,Old,Active,10+ transfers
175,2,1,171.35785949488948,434.5767628212766,3,2022-01-07 23:28:00,USD,US,Old,Usual,10+ transfers
176,1,0,0.0,321.9152671585384,0,2022-01-20 06:46:00,GBP,US,Old,Active,10- transfers
177,0,1,249.97017228748763,58.48488679878747,2,2022-01-12 18:19:00,GBP,USD,Old,Usual,10- transfers
178,0,0,0.0,1059.090961140123,0,2022-01-03 02:56:00,EUR,US,New,Usual,10+ transfers
179,1,1,380.46006406404285,75.42083779478467,15,2022-01-19 11:26:00,EUR,USD,New,Active,10+ transfers
180,2,0,0.0,91.76300881644235,0,2022-01-13 15:34:00,USD,US,Old,Active,10- transfers
181,1,0,0.0,219.3644892998399,0,2022-01-10 12:49:00,USD,USD,New,Rare,10+ transfers
182,1,0,0.0,249.59582763699223,0,2022-01-15 21:06:00,EUR,US,New,Usual,10+ transfers
183,0,0,0.0,1427.713989549158,0,2022-01-11 18:06:00,USD,USD,Old,Usual,10+ transfers
184,1,0,0.0,64.68461422408032,0,2022-01-07 12:07:00,GBP,UK,Old,Active,10- transfers
185,0,0,0.0,747.4714957113208,0,2022-01-18 01:13:00,GBP,UK,Old,Active,10- transfers
186,1,1,69.20064804034753,1754.5078100066637,7,2022-01-03 00:50:00,GBP,US,Old,Active,10+ transfers
187,0,1,633.8244831212734,1004.6379085973853,6,2022-01-12 07:12:00,GBP,US,New,Active,10- transfers
188,1,0,0.0,819.2277679972663,0,2022-01-08 17:22:00,GBP,UK,New,Usual,10- transfers
189,1,1,770.9330947077283,549.923607937609,9,2022-01-17 11:00:00,EUR,USD,Old,Rare,10- transfers
190,1,1,1686.8363322399327,234.12399411367252,14,2022-01-09 22:14:00,EUR,US,New,Usual,10+ transfers
191,1,0,0.0,361.86019312460917,0,2022-01-07 08:58:00,GBP,UK,New,Rare,10+ transfers
192,0,0,0.0,171.7639180810391,0,2022-01-18 15:58:00,EUR,USD,Old,Usual,10+ transfers
193,2,0,0.0,758.0152169203099,0,2022-01-19 05:52:00,GBP,UK,Old,Rare,10- transfers
194,1,1,231.71604747777639,419.56836594643886,10,2022-01-09 03:59:00,USD,US,Old,Active,10+ transfers
195,0,0,0.0,344.2531795112587,0,2022-01-07 12:50:00,GBP,US,New,Active,10+ transfers
196,0,0,0.0,162.48344209967732,0,2022-01-13 15:06:00,EUR,US,New,Rare,10- transfers
197,2,1,262.0759535463868,513.5571300884113,5,2022-01-12 03:47:00,EUR,USD,New,Usual,10- transfers
198,1,0,0.0,432.32949952770383,0,2022-01-07 15:29:00,GBP,US,New,Rare,10+ transfers
199,0,1,257.61791022276606,1046.8018002212277,12,2022-01-17 07:03:00,EUR,US,New,Rare,10- transfers
200,2,1,72.94150512689994,234.28916670947237,8,2022-01-21 14:19:00,EUR,UK,New,Usual,10+ transfers
201,2,1,921.7354986395537,1054.022071292701,9,2022-01-17 14:04:00,EUR,US,New,Active,10+ transfers
202,2,1,166.17142713343824,3682.3533691813686,12,2022-01-21 06:34:00,GBP,USD,Old,Usual,10+ transfers
203,0,1,294.19902234485755,539.3629392394485,6,2022-01-08 18:21:00,EUR,USD,New,Active,10- transfers
204,1,0,0.0,1523.486435861469,0,2022-01-08 08:23:00,GBP,US,New,Rare,10- transfers
205,1,0,0.0,1491.4106716814415,0,2022-01-17 11:22:00,EUR,US,New,Rare,10- transfers
206,1,0,0.0,74.03526845987393,0,2022-01-18 04:07:00,USD,USD,Old,Active,10- transfers
207,1,0,0.0,1236.0785519493988,0,2022-01-17 22:26:00,EUR,USD,Old,Rare,10+ transfers
208,2,0,0.0,190.2983039966765,0,2022-01-09 08:22:00,GBP,USD,New,Active,10+ transfers
209,0,0,0.0,391.3995844165966,0,2022-01-12 15:37:00,GBP,UK,New,Active,10- transfers
210,0,1,137.1547616125426,1102.1208638550588,9,2022-01-04 18:05:00,USD,USD,Old,Active,10- transfers
211,2,0,0.0,325.8679169058451,0,2022-01-05 18:59:00,GBP,US,New,Active,10+ transfers
212,0,0,0.0,117.81322140813981,0,2022-01-06 19:39:00,USD,US,Old,Rare,10+ transfers
213,1,0,0.0,1541.8813473711284,0,2022-01-03 07:00:00,USD,UK,New,Usual,10- transfers
214,0,1,167.88286055201627,1800.325895651365,7,2022-01-02 06:07:00,EUR,US,New,Active,10- transfers
215,2,1,489.803001229734,55.94790686846394,10,2022-01-11 17:15:00,EUR,US,New,Rare,10+ transfers
216,0,1,371.63502783112585,240.1489788653112,6,2022-01-01 22:44:00,EUR,US,New,Rare,10- transfers
217,2,1,932.0989094418043,1327.593752227612,10,2022-01-12 09:00:00,USD,US,New,Rare,10+ transfers
218,2,1,319.4032776868054,745.8376647955354,4,2022-01-03 05:53:00,EUR,UK,New,Usual,10+ transfers
219,0,0,0.0,766.5392903361072,0,2022-01-05 03:01:00,EUR,USD,New,Rare,10- transfers
220,1,0,0.0,666.4790027289681,0,2022-01-21 02:01:00,GBP,USD,New,Rare,10+ transfers
221,0,1,442.20032652833453,257.5260165268954,4,2022-01-21 05:58:00,EUR,US,Old,Rare,10- transfers
222,0,0,0.0,323.85114344114874,0,2022-01-12 07:42:00,EUR,USD,New,Active,10+ transfers
223,0,0,0.0,277.53437056339476,0,2022-01-10 08:05:00,EUR,USD,Old,Active,10+ transfers
224,1,0,0.0,224.35624862393507,0,2022-01-12 23:52:00,EUR,USD,New,Active,10- transfers
225,2,1,254.8320945552966,628.02099055394,13,2022-01-15 19:00:00,EUR,USD,New,Rare,10- transfers
226,1,1,876.2938326704555,114.8433467458973,7,2022-01-11 21:29:00,EUR,UK,New,Active,10+ transfers
227,0,0,0.0,262.3393892793249,0,2022-01-12 16:21:00,EUR,UK,Old,Rare,10+ transfers
228,0,0,0.0,142.28619423885362,0,2022-01-18 22:29:00,GBP,US,New,Rare,10+ transfers
229,0,1,263.44737557568186,703.9540792883776,13,2022-01-19 14:27:00,EUR,USD,New,Rare,10+ transfers
230,1,1,723.0669710622601,1218.9264529019094,7,2022-01-20 04:57:00,GBP,US,Old,Active,10+ transfers
231,2,0,0.0,198.830424287143,0,2022-01-14 09:50:00,USD,USD,New,Rare,10+ transfers
232,0,1,188.02952116149035,154.99356436835572,8,2022-01-02 06:34:00,EUR,US,New,Active,10- transfers
233,0,0,0.0,216.8918759237123,0,2022-01-20 16:56:00,EUR,US,Old,Usual,10+ transfers
234,2,0,0.0,585.1020470937049,0,2022-01-18 19:59:00,GBP,USD,New,Usual,10- transfers
235,2,1,159.23155964528513,654.3571318355243,6,2022-01-21 10:33:00,USD,USD,Old,Active,10- transfers
236,2,1,105.08972988648117,184.7740533202372,8,2022-01-01 18:31:00,EUR,US,Old,Rare,10+ transfers
237,2,0,0.0,228.65898382963564,0,2022-01-18 09:58:00,EUR,UK,Old,Active,10+ transfers
238,1,0,0.0,487.57600251215894,0,2022-01-18 00:20:00,EUR,US,Old,Active,10- transfers
239,2,1,420.4668341296425,175.0534362611072,10,2022-01-03 11:48:00,EUR,US,New,Usual,10+ transfers
240,0,0,0.0,469.439063151004,0,2022-01-01 00:33:00,EUR,USD,Old,Active,10+ transfers
241,2,0,0.0,1192.390099747041,0,2022-01-08 05:32:00,USD,US,New,Active,10+ transfers
242,0,1,281.10569057096257,607.8564635510133,5,2022-01-06 12:16:00,EUR,US,New,Rare,10+ transfers
243,0,1,633.6524010690075,54.878660676928654,4,2022-01-12 00:46:00,EUR,USD,Old,Rare,10- transfers
244,0,0,0.0,1252.9131958936273,0,2022-01-11 14:47:00,EUR,UK,New,Active,10- transfers
245,0,1,870.4182810985316,224.62081787771737,4,2022-01-01 20:37:00,USD,USD,New,Usual,10+ transfers
246,1,0,0.0,2319.1849326712654,0,2022-01-21 10:13:00,USD,US,New,Rare,10+ transfers
247,2,0,0.0,627.5944192457374,0,2022-01-21 00:57:00,GBP,US,New,Active,10+ transfers
248,2,0,0.0,228.44233088212263,0,2022-01-04 06:47:00,EUR,UK,New,Active,10+ transfers
249,1,0,0.0,158.49677430654432,0,2022-01-02 15:58:00,EUR,UK,New,Rare,10+ transfers
250,1,0,0.0,319.6417095945464,0,2022-01-19 20:22:00,GBP,USD,New,Usual,10+ transfers
251,0,0,0.0,717.3717373541356,0,2022-01-18 10:18:00,GBP,USD,New,Active,10- transfers
252,2,1,1438.3963384691617,181.57789277630457,11,2022-01-16 09:10:00,USD,USD,New,Rare,10- transfers
253,2,1,232.49223559057026,79.12317612762867,5,2022-01-04 02:35:00,USD,UK,Old,Rare,10+ transfers
254,2,0,0.0,157.8191073771503,0,2022-01-12 21:42:00,USD,USD,Old,Active,10- transfers
255,0,1,346.0297793888363,278.3633043411067,4,2022-01-06 21:11:00,GBP,USD,New,Active,10+ transfers
256,2,0,0.0,570.6524482295247,0,2022-01-20 05:50:00,EUR,US,Old,Usual,10+ transfers
257,2,0,0.0,405.73760951296777,0,2022-01-05 20:40:00,EUR,USD,Old,Rare,10+ transfers
